,vpn_number,trial,condition,correct_key,key,rt,iscorrect,accuracy,error_rate
47,8,47,pictures,l,l,0.49448013305699995,True,0.9933333333333333,0.00666666666666671
48,8,48,pictures,l,l,0.493525981903,True,0.9933333333333333,0.00666666666666671
49,8,49,words,s,s,0.536060810089,True,0.9933333333333333,0.00666666666666671
50,8,50,pictures,l,l,0.5702879428859999,True,0.9933333333333333,0.00666666666666671
51,8,51,pictures,l,l,0.624449968338,True,0.9933333333333333,0.00666666666666671
52,8,52,pictures,l,l,0.6111369133,True,0.9933333333333333,0.00666666666666671
53,8,53,words,s,s,0.507348060608,True,0.9933333333333333,0.00666666666666671
54,8,54,pictures,l,l,0.48110103607199994,True,0.9933333333333333,0.00666666666666671
55,8,55,words,s,s,0.5294489860530001,True,0.9933333333333333,0.00666666666666671
56,8,56,words,s,s,0.463778972626,True,0.9933333333333333,0.00666666666666671
57,8,57,pictures,l,l,0.461199045181,True,0.9933333333333333,0.00666666666666671
58,8,58,pictures,l,l,0.637724876404,True,0.9933333333333333,0.00666666666666671
59,8,59,pictures,l,l,0.5051009654999999,True,0.9933333333333333,0.00666666666666671
60,8,60,pictures,l,l,0.498593091965,True,0.9933333333333333,0.00666666666666671
61,8,61,pictures,l,l,0.497776985168,True,0.9933333333333333,0.00666666666666671
62,8,62,words,s,s,0.46267008781400004,True,0.9933333333333333,0.00666666666666671
63,8,63,pictures,l,l,0.524666070938,True,0.9933333333333333,0.00666666666666671
64,8,64,words,s,s,0.587831020355,True,0.9933333333333333,0.00666666666666671
65,8,65,words,s,s,0.448391914368,True,0.9933333333333333,0.00666666666666671
66,8,66,words,s,s,0.512344121933,True,0.9933333333333333,0.00666666666666671
67,8,67,words,s,s,0.535046815872,True,0.9933333333333333,0.00666666666666671
68,8,68,pictures,l,l,0.45920419693000003,True,0.9933333333333333,0.00666666666666671
69,8,69,words,s,s,0.595016956329,True,0.9933333333333333,0.00666666666666671
70,8,70,words,s,s,0.5124309062960001,True,0.9933333333333333,0.00666666666666671
71,8,71,words,s,s,0.54566693306,True,0.9933333333333333,0.00666666666666671
72,8,72,pictures,l,l,0.426509857178,True,0.9933333333333333,0.00666666666666671
73,8,73,words,s,s,0.8313310146330001,True,0.9933333333333333,0.00666666666666671
74,8,74,words,s,s,0.451292037964,True,0.9933333333333333,0.00666666666666671
75,8,75,pictures,l,l,0.447154045105,True,0.9933333333333333,0.00666666666666671
76,8,76,pictures,l,l,0.486855983734,True,0.9933333333333333,0.00666666666666671
77,8,77,pictures,l,l,0.473484992981,True,0.9933333333333333,0.00666666666666671
78,8,78,pictures,l,l,0.46860098838799996,True,0.9933333333333333,0.00666666666666671
79,8,79,words,s,s,0.50713801384,True,0.9933333333333333,0.00666666666666671
80,8,80,words,s,s,0.48976898193400004,True,0.9933333333333333,0.00666666666666671
81,8,81,words,s,s,0.47963786125200003,True,0.9933333333333333,0.00666666666666671
82,8,82,pictures,l,l,0.45127105712899995,True,0.9933333333333333,0.00666666666666671
83,8,83,words,s,s,0.690227031708,True,0.9933333333333333,0.00666666666666671
84,8,84,words,s,s,0.448499917984,True,0.9933333333333333,0.00666666666666671
85,8,85,words,s,s,0.482366800308,True,0.9933333333333333,0.00666666666666671
86,8,86,words,s,s,0.484375953674,True,0.9933333333333333,0.00666666666666671
87,8,87,words,s,s,0.491734027863,True,0.9933333333333333,0.00666666666666671
88,8,88,words,s,s,0.49414896965000005,True,0.9933333333333333,0.00666666666666671
89,8,89,words,s,s,0.503229141235,True,0.9933333333333333,0.00666666666666671
90,8,90,pictures,l,l,0.425502061844,True,0.9933333333333333,0.00666666666666671
91,8,91,words,s,s,0.595952987671,True,0.9933333333333333,0.00666666666666671
92,8,92,words,s,s,0.469646930695,True,0.9933333333333333,0.00666666666666671
93,8,93,pictures,l,l,0.522807121277,True,0.9933333333333333,0.00666666666666671
94,8,94,pictures,l,l,0.61531496048,True,0.9933333333333333,0.00666666666666671
95,8,95,pictures,l,l,0.7589001655580001,True,0.9933333333333333,0.00666666666666671
96,8,96,pictures,l,l,0.561918973923,True,0.9933333333333333,0.00666666666666671
97,8,97,words,s,s,0.510730981827,True,0.9933333333333333,0.00666666666666671
98,8,98,words,s,s,0.5143778324130001,True,0.9933333333333333,0.00666666666666671
99,8,99,pictures,l,l,0.541718006134,True,0.9933333333333333,0.00666666666666671
100,8,100,words,s,s,0.639904975891,True,0.9933333333333333,0.00666666666666671
101,8,101,pictures,l,l,0.538906097412,True,0.9933333333333333,0.00666666666666671
102,8,102,words,s,s,0.542351007462,True,0.9933333333333333,0.00666666666666671
103,8,103,pictures,l,l,0.527520895004,True,0.9933333333333333,0.00666666666666671
104,8,104,pictures,l,l,0.7268450260160001,True,0.9933333333333333,0.00666666666666671
105,8,105,words,s,s,0.593633174896,True,0.9933333333333333,0.00666666666666671
106,8,106,words,s,s,0.514302015305,True,0.9933333333333333,0.00666666666666671
107,8,107,words,s,s,0.517335891724,True,0.9933333333333333,0.00666666666666671
